          ;       21140;   ;Filtro    ;Inicio                                  ;15122016      ;120433;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       21140;   ;Filtro    ;tbk_param.txt                           ;15122016      ;120433;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       21140;   ;Filtro    ;Terminado                               ;15122016      ;120433;::1            ;OK ;                    ;Datos Filtrados con exito                                               
181427398 ;       21140;   ;pago      ;inicio                                  ;15122016      ;120433;::1            ;OK ;597032110312        ;Parseo realizado                                                        
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120433;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120433;::1            ;OK ;597032110312        ;Mac generado                                                            
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120433;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120434;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120434;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120434;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120434;::1            ;OK ;597032110312        ;Redireccion web                                                         
181427398 ;       21140;   ;pago      ;https://webpay.transbank.cl             ;15122016      ;120434;::1            ;OK ;597032110312        ;Todo OK                                                                 
