          ;        1208;   ;Filtro    ;Inicio                                  ;05012017      ;163922;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;        1208;   ;Filtro    ;tbk_param.txt                           ;05012017      ;163922;::1            ;OK ;                    ;Archivo parseado                                                        
          ;        1208;   ;Filtro    ;Terminado                               ;05012017      ;163922;::1            ;OK ;                    ;Datos Filtrados con exito                                               
364516240 ;        1208;   ;pago      ;inicio                                  ;05012017      ;163922;::1            ;OK ;597026007976        ;Parseo realizado                                                        
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;Mac generado                                                            
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;Datos listos para ser enviados                                          
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;Medio 2: Por redireccion                                                
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;Redireccion web                                                         
364516240 ;        1208;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163922;::1            ;OK ;597026007976        ;Todo OK                                                                 
          ;       16040;   ;Filtro    ;Inicio                                  ;05012017      ;163939;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       16040;   ;Filtro    ;tbk_param.txt                           ;05012017      ;163939;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       16040;   ;Filtro    ;Terminado                               ;05012017      ;163939;::1            ;OK ;                    ;Datos Filtrados con exito                                               
364517946 ;       16040;   ;pago      ;inicio                                  ;05012017      ;163939;::1            ;OK ;597026007976        ;Parseo realizado                                                        
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;Mac generado                                                            
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;Datos listos para ser enviados                                          
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;Medio 2: Por redireccion                                                
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;Redireccion web                                                         
364517946 ;       16040;   ;pago      ;https://webpay3gint.transbank.cl        ;05012017      ;163939;::1            ;OK ;597026007976        ;Todo OK                                                                 
